Final_score	Birds	Bonus_cards	End_of_round_goals	Eggs	Food_on_cards	Tucked_cards	Nectar	Win	Player	Place	Forest	Grass	Water	turn_order	Win_bool	allbirds	N_birds
90	45	3	16	8	0	6	12	0	Nino						FALSE		0
99	51	2	16	11	1	6	12	0	Ninian						FALSE		0
118	41	0	22	32	5	9	9	1	Sain						TRUE		0
94	33	4	22	18	0	11	6	1	Sain						TRUE		0
82	42	6	9	3	2	5	15	0	Ninian						FALSE		0
117	45	25	0	11	0	31	5	0	Hawkeye						FALSE		0
116	69	16	13	4	0	2	12	0	Nino						FALSE		0
113	33	7	22	30	0	25	7	0	Sain						FALSE		0
119	58	23	12	19	0	7	0	1	Lucius						TRUE		0
101	49	11	9	11	0	19	2	0	Florina						FALSE		0
101	49	11	9	11	0	19	2	0	Lowen						FALSE		0
108	40	14	19	9	0	11	15	1	Pent						TRUE		0
93	34	0	14	18	2	16	9	0	Sain						FALSE		0
99	40	7	14	2	1	23	12	0	Pent						FALSE		0
113	34	6	14	10	7	30	12	1	Sain						TRUE		0
120	74	12	11	16	0	3	9	1	Sain						TRUE		0
106	45	6	16	4	0	28	7	0	Nino						FALSE		0
109	39	9	15	10	0	29	7	0	Lucius						FALSE		0
109	47	4	19	10	0	17	12	0	Nino						FALSE		0
124	53	26	22	6	4	4	9	1	Sain						TRUE		0
104	49	5	22	7	2	10	9	0	Athos						FALSE		0
118	49	12	15	18	8	9	7	1	Pent						TRUE		0
111	63	12	19	3	0	7	7	0	Nino						FALSE		0
102	48	13	14	14	0	9	4	0	Athos						FALSE		0
117	60	11	12	22	10	3	10	1	Sain						TRUE		0
85	48	7	12	14	0	2	2	0	Nino						FALSE		0
97	44	7	11	20	0	8	7	0	Pent						FALSE		0
108	49	16	9	6	6	15	7	0	Athos						FALSE		0
115	67	12	15	5	0	4	12	1	Sain						TRUE		0
60	26	3	12	16	0	1	2	0	Erk						FALSE		0
90	54	12	8	7	0	7	2	0	Pent						FALSE		0
102	55	5	16	5	0	9	12	1	Nino						TRUE		0
97	44	12	16	9	7	0	9	0	Sain						FALSE		0
102	27	4	14	7	26	17	7	0	Lucius						FALSE		0
111	67	16	11	7	8	2	0	0	Nino						FALSE		0
97	50	4	11	10	14	6	2	0	Florina						FALSE		0
99	60	12	2	10	2	13	0	0	Lowen						FALSE		0
114	64	8	5	15	0	15	7	1	Sain						TRUE		0
88	34	6	8	13	0	17	5	0	Ninian						FALSE		0
131	49	31	16	3	5	17	10	1	Sain						TRUE		0
